  c_sec  , code_cultu_c , code_cultu_s ,       s1_c       ,       s1_s       ,     s2_c      ,      s2_s      ,    tot_sai_c     ,    tot_sai_s     ,       pc_sau_c       ,       pc_sau_s       
 131-08  , C81          , C3           ,             0.04 ,            63.58 ,0,           1.16 ,             0.04 ,            64.74 ,  0.00483933410762679 ,     7.83246225319396
 131-07  , C81          , C3           ,             0.24 ,           214.73 ,0,         231.01 ,             0.24 ,           445.74 ,  0.00900086633338459 ,     16.7168589976785
 131-06  , C81          , C3           ,              3.4 ,             76.7 ,           0.4 ,         295.54 ,              3.8 ,           372.24 ,    0.127050358750092 ,     12.4455856687195
 131-05  , C81          , C3           ,             1.37 ,             98.6 ,0,          92.14 ,             1.37 ,           190.74 ,    0.187030716723549 ,      26.039590443686
 131-04  , C81          , C3           ,            16.11 ,            95.04 ,          6.24 ,          58.16 ,            22.35 ,            153.2 ,     5.40782501391275 ,     37.0684023325026
 131-03  , C81          , C3           ,            46.03 ,           34.855 ,         1.475 ,         54.435 ,           47.505 ,            89.29 ,     5.70640912448873 ,     10.7257187817198
 131-02  , C81          , C3           ,            10.36 ,            2.885 ,         0.865 ,          1.255 ,           11.225 ,             4.14 ,     2.76767552240646 ,     1.02077297663811
 131-01  , C81          , C3           ,            23.48 ,             1.43 ,          4.31 ,           0.01 ,            27.79 ,             1.44 ,     5.26814657542037 ,    0.272980607002711
 123-07  , C81          , C3           ,             1.83 ,             9.77 ,          0.39 ,           6.24 ,             2.22 ,            16.01 ,    0.301327469663653 ,     2.17308684203382
 123-06  , C81          , C3           ,0,             9.48 ,0,           0.19 ,0,             9.67 ,0,     1.87675885492479
 123-05  , C81          , C3           ,0,             3.29 ,0,         118.39 ,0,           121.68 ,0,     13.2758714745513
 123-04  , C81          , C3           ,              0.1 ,            24.23 ,0,         139.12 ,              0.1 ,           163.35 ,  0.00852187992671184 ,     13.9204908602838
 123-03  , C81          , C3           ,             0.74 ,            16.06 ,0,           0.92 ,             0.74 ,            16.98 ,    0.126610433384092 ,     2.90519616062416
 123-02  , C81          , C3           ,             0.13 ,            25.08 ,          0.01 ,          82.36 ,             0.14 ,           107.44 ,  0.00650466942340751 ,     4.99186916322074
 123-01  , C81          , C3           ,             2.77 ,            46.08 ,          0.58 ,           1.79 ,             3.35 ,            47.87 ,    0.228647091745499 ,     3.26726456174837
 122-12  , C81          , C3           ,            13.14 ,           13.755 ,0,          416.8 ,            13.14 ,          430.555 ,    0.567720304858027 ,      18.602345194684
 122-11  , C81          , C3           ,            40.21 ,          106.525 ,          0.12 ,          12.75 ,            40.33 ,          119.275 ,     2.33102523495209 ,     6.89395077854971
 122-10  , C81          , C3           ,             0.13 ,             5.22 ,0,           9.32 ,             0.13 ,            14.54 ,  0.00902508278777864 ,     1.00942079795617
 122-09  , C81          , C3           ,0,              1.6 ,0,         142.73 ,0,           144.33 ,0,     5.17439796939028
 122-08  , C81          , C3           ,              0.7 ,            96.44 ,0,          70.45 ,              0.7 ,           166.89 ,   0.0297063316924122 ,     7.08241385163809
 122-07  , C81          , C3           ,             0.34 ,            33.22 ,0,0,             0.34 ,            33.22 ,   0.0679565078349856 ,     6.63975055964183
 122-06  , C81          , C3           ,0,             4.74 ,0,         616.23 ,0,           620.97 ,0,             18.48125
 122-05  , C81          , C3           ,             0.01 ,             2.44 ,0,          85.45 ,             0.01 ,            87.89 ,  0.00161914476773368 ,     14.2306633636113
 122-04  , C81          , C3           ,0,           103.96 ,0,          23.91 ,0,           127.87 ,0,     7.57178301367267
 122-03  , C81          , C3           ,              1.7 ,           110.45 ,0,           0.08 ,              1.7 ,           110.53 ,    0.169425647056479 ,     11.0156569230309
 122-02  , C81          , C3           ,             18.8 ,           556.96 ,0,           3.75 ,             18.8 ,           560.71 ,     1.24611417852574 ,     37.1653553745302
 122-01  , C81          , C3           ,            99.08 ,           112.58 ,           1.5 ,         169.32 ,           100.58 ,            281.9 ,     4.82469815656045 ,      13.522394216886
 121-13  , C81          , C3           ,0,             9.42 ,0,           1.36 ,0,            10.78 ,0,    0.442761385292765
 121-12  , C81          , C3           ,             0.08 ,            24.19 ,0,           0.05 ,             0.08 ,            24.24 ,    0.010425626189173 ,     3.15896473531942
 121-11  , C81          , C3           ,             9.35 ,             2.33 ,0,           0.44 ,             9.35 ,             2.77 ,     2.15755953479786 ,    0.639191434373269
 121-10  , C81          , C3           ,             0.97 ,             0.15 ,0,0,             0.97 ,             0.15 ,    0.390075200064342 ,   0.0603209072264447
 121-09  , C81          , C3           ,0,             0.53 ,0,0,0,             0.53 ,0,    0.198405270841912
 121-08  , C81          , C3           ,             0.62 ,             0.64 ,0,           0.01 ,             0.62 ,             0.65 ,    0.103395370555667 ,    0.108398372356747
 121-07  , C81          , C3           ,0,             6.17 ,0,           6.32 ,0,            12.49 ,0,     1.48563136359311
 121-06  , C81          , C3           ,             1.59 ,             0.89 ,0,           0.51 ,             1.59 ,              1.4 ,    0.330967298765638 ,    0.291417747340813
 121-05  , C81          , C3           ,             7.58 ,             2.82 ,          0.99 ,          59.49 ,             8.57 ,            62.31 ,     2.44976131263757 ,       17.81150844696
 121-04  , C81          , C3           ,              0.1 ,             4.74 ,0,           2.33 ,              0.1 ,             7.07 ,    0.016790355619732 ,     1.18707814231505
 121-03  , C81          , C3           ,           160.39 ,             3.15 ,          4.27 ,            0.8 ,           164.66 ,             3.95 ,     12.9138008109359 ,    0.309786913659642
 121-01  , C81          , C3           ,         653.0425 ,             2.02 ,          5.73 ,         0.7875 ,         658.7725 ,           2.8075 ,     50.0389283869596 ,    0.213251602710175
 118-04  , C81          , C3           ,             2.37 ,0,          0.33 ,0,              2.7 ,0,     4.49850049983339 ,0
 118-03  , C81          , C3           ,             0.65 ,             0.07 ,0,           0.04 ,             0.65 ,             0.11 ,    0.273672687465791 ,   0.0463138394172877
 117-02  , C81          , C3           ,            27.86 ,              0.3 ,          0.02 ,           0.03 ,            27.88 ,             0.33 ,     6.12491487071333 ,   0.0724971989718579
 117-01  , C81          , C3           ,            44.56 ,             0.09 ,          0.28 ,           0.05 ,            44.84 ,             0.14 ,     11.5329218106996 ,   0.0360082304526749
 116-03  , C81          , C3           ,              2.4 ,           6.0175 ,0,          20.42 ,              2.4 ,          26.4375 ,    0.406108549431025 ,     4.47353948982613
 116-02  , C81          , C3           ,0,           3.7825 ,0,         170.67 ,0,         174.4525 ,0,     22.3561034683822
 116-01  , C81          , C3           ,             0.08 ,            32.63 ,0,0,             0.08 ,            32.63 ,    0.029013890400029 ,     11.8340405469118
 115-05  , C81          , C3           ,             0.08 ,             54.9 ,          0.01 ,           5.36 ,             0.09 ,            60.26 ,  0.00417734209646875 ,     2.79696260814674
 115-04  , C81          , C3           ,0,            11.23 ,0,          11.89 ,0,            23.12 ,0,     2.46700171793805
 115-03  , C81          , C3           ,             1.82 ,             5.42 ,          8.06 ,          12.35 ,             9.88 ,            17.77 ,    0.372150487411671 ,    0.669343538593663
 115-02  , C81          , C3           ,             0.14 ,             9.85 ,0,           0.68 ,             0.14 ,            10.53 ,   0.0261189156918714 ,     1.96451558739576
 115-01  , C81          , C3           ,             9.24 ,              0.4 ,0,           0.13 ,             9.24 ,             0.53 ,    0.765356835199788 ,   0.0439003379497714
 114-05  , C81          , C3           ,            8.005 ,             1.82 ,          1.98 ,           4.19 ,            9.985 ,             6.01 ,     1.69979146273992 ,     1.02310933310635
 114-04  , C81          , C3           ,             0.01 ,           149.31 ,0,          63.15 ,             0.01 ,           212.46 , 0.000112277550103857 ,     2.38544882950654
 114-03  , C81          , C3           ,            0.515 ,            43.99 ,          0.06 ,           3.08 ,            0.575 ,            47.07 ,   0.0437613446529345 ,     3.58234172663239
 114-02  , C81          , C3           ,             1.29 ,            64.88 ,0,          75.22 ,             1.29 ,            140.1 ,   0.0808240291718356 ,     8.77786549377843
 114-01  , C81          , C3           ,0,             0.54 ,0,           0.23 ,0,             0.77 ,0,     0.10867570886201
 113-13  , C81          , C3           ,             0.13 ,            18.03 ,0,            0.6 ,             0.13 ,            18.63 ,   0.0326076050968195 ,     4.67292063810575
 113-12  , C81          , C3           ,             0.59 ,             0.76 ,0,0,             0.59 ,             0.76 ,   0.0484213809121275 ,   0.0623733042257914
 113-11  , C81          , C3           ,           2.9075 ,           20.985 ,0,        14.2325 ,           2.9075 ,          35.2175 ,    0.445838141203801 ,     5.40027677999823
 113-10  , C81          , C3           ,           0.6075 ,           14.995 ,0,         1.8525 ,           0.6075 ,          16.8475 ,    0.213816223635932 ,     5.92966062173886
 113-09  , C81          , C3           ,           0.1075 ,           52.375 ,0,         8.6725 ,           0.1075 ,          61.0475 ,   0.0325409978734836 ,     18.4795029551767
 113-08  , C81          , C3           ,           0.9675 ,           13.695 ,0,         0.5625 ,           0.9675 ,          14.2575 ,    0.160205327758574 ,     2.36085525634922
 113-07  , C81          , C3           ,             0.01 ,             1.53 ,0,0,             0.01 ,             1.53 , 0.000937989513277242 ,    0.143512395531418
 113-06  , C81          , C3           ,             1.41 ,             21.7 ,          0.27 ,0,             1.68 ,             21.7 ,    0.639293732638228 ,     8.25754404657711
 113-05  , C81          , C3           ,             1.83 ,            29.96 ,0,0,             1.83 ,            29.96 ,    0.286905807098959 ,     4.69710272168569
 113-04  , C81          , C3           ,             0.03 ,             5.64 ,0,           0.37 ,             0.03 ,             6.01 ,  0.00858295425285383 ,     1.71945183532172
 113-03  , C81          , C3           ,             0.03 ,             0.77 ,          0.25 ,          22.51 ,             0.28 ,            23.28 ,    0.207238546369625 ,     17.2304048553031
 113-02  , C81          , C3           ,0,            31.06 ,0,           3.55 ,0,            34.61 ,0,     10.5159212445309
 113-01  , C81          , C3           ,             1.72 ,             6.23 ,0,0,             1.72 ,             6.23 ,    0.933869041155392 ,     3.38256053860354
 112-01  , C81          , C3           ,0,0,0,0,0,0,0,0
 111-03  , C81          , C3           ,             0.07 ,             0.49 ,0,           1.78 ,             0.07 ,             2.27 ,   0.0429730473047305 ,     1.39355453402483
 111-02  , C81          , C3           ,             0.38 ,             1.26 ,          0.02 ,           1.94 ,              0.4 ,              3.2 ,    0.135794472350209 ,     1.08635577880167
 111-01  , C81          , C3           ,              0.1 ,             2.28 ,          0.05 ,           1.72 ,             0.15 ,4,   0.0178002921146605 ,    0.474674456390946
 1032-02 , C81          , C3           ,0,             0.25 ,0,0,0,             0.25 ,0,    0.099352223502762
 1032-01 , C81          , C3           ,0,              0.1 ,0,0,0,              0.1 ,0,   0.0960153624579933
 1031-05 , C81          , C3           ,  30.496666666546 ,             8.86 ,           0.9 ,           1.08 ,  31.396666666546 ,             9.94 ,     1.88556488873449 ,    0.596958753395038
 1031-04 , C81          , C3           ,  74.076666666546 ,            73.09 ,           0.6 ,            0.5 ,  74.676666666546 ,            73.59 ,     5.59914024719169 ,     5.51766367171588
 1031-03 , C81          , C3           ,             3.35 ,            25.45 ,           0.5 ,         146.51 ,             3.85 ,           171.96 ,    0.147375190439369 ,     6.58250331115687
 1031-02 , C81          , C3           ,0,            18.82 ,0,0,0,            18.82 ,0,      4.5667418893014
 1031-01 , C81          , C3           ,   4.936666666546 ,             1.47 ,          0.26 ,0,   5.196666666546 ,             1.47 ,    0.536969617636358 ,    0.151894548674235
 1025-03 , C81          , C3           ,             0.01 ,            93.86 ,0,           2.01 ,             0.01 ,            95.87 , 0.000926646651099003 ,     8.88376144408614
 1025-02 , C81          , C3           ,0,             1.18 ,0,           1.68 ,0,             2.86 ,0,    0.453169811918683
 1025-01 , C81          , C3           ,             0.66 ,             8.15 ,          0.13 ,           2.28 ,             0.79 ,            10.43 ,   0.0663798608543677 ,    0.876382213558297
 1024-03 , C81          , C3           ,           105.79 ,            48.88 ,          1.13 ,0,           106.92 ,            48.88 ,     15.4636044140405 ,     7.06940688139074
 1024-02 , C81          , C3           ,             98.4 ,            21.65 ,          1.49 ,         155.94 ,            99.89 ,           177.59 ,     7.06270813742196 ,     12.5564755043024
 1024-01 , C81          , C3           ,           194.43 ,            21.69 ,0,0,           194.43 ,            21.69 ,     25.8564285334326 ,     2.88446193946487
 1023-04 , C81          , C3           ,             6.49 ,            24.93 ,          0.05 ,         498.39 ,             6.54 ,           523.32 ,    0.317999037250621 ,     25.4457578247699
 1023-03 , C81          , C3           ,            5.415 ,            5.715 ,0,         636.89 ,            5.415 ,          642.605 ,    0.217614956155509 ,     25.8246461496419
 1023-02 , C81          , C3           ,            0.235 ,            6.615 ,0,         111.93 ,            0.235 ,          118.545 ,   0.0335412414541199 ,     16.9197722050155
 1023-01 , C81          , C3           ,             2.14 ,             2.74 ,          0.02 ,         393.88 ,             2.16 ,           396.62 ,     0.12969779213527 ,     23.8151566280976
 1022-03 , C81          , C3           ,            32.73 ,             76.7 ,          0.27 ,         294.26 ,33,           370.96 ,     1.67343647787261 ,     18.8114544191401
 1022-02 , C81          , C3           ,             8.25 ,             3.28 ,0,           1.32 ,             8.25 ,              4.6 ,    0.405997942943756 ,    0.226374610611064
 1022-01 , C81          , C3           ,             3.89 ,             22.5 ,          0.36 ,         103.77 ,             4.25 ,           126.27 ,    0.379888268156425 ,     11.2867039106145
 1021-03 , C81          , C3           ,             0.07 ,            83.87 ,0,           0.65 ,             0.07 ,            84.52 ,  0.00673290563351833 ,     8.12950263064242
 1021-02 , C81          , C3           ,            20.12 ,            43.03 ,          1.91 ,          98.35 ,            22.03 ,           141.38 ,     2.22361289150424 ,     14.2702855470209
 1021-01 , C81          , C3           ,             18.6 ,            33.31 ,           0.5 ,         200.08 ,             19.1 ,           233.39 ,     1.73410929428107 ,     21.1897260833643
 1014-02 , C81          , C3           ,             0.02 ,           17.265 ,0,         18.475 ,             0.02 ,            35.74 ,  0.00204978938414078 ,     3.66297362945957
 1014-01 , C81          , C3           ,             4.46 ,            5.575 ,0,          0.575 ,             4.46 ,             6.15 ,    0.296455824094015 ,    0.408789981654303
 1013-04 , C81          , C3           ,             1.23 ,              8.9 ,          0.02 ,           18.4 ,             1.25 ,             27.3 ,    0.176421605295471 ,     3.85304785965309
 1013-03 , C81          , C3           ,            10.11 ,             6.71 ,          0.27 ,         537.44 ,            10.38 ,           544.15 ,    0.614608497939463 ,     32.2195774714604
 1013-02 , C81          , C3           ,             4.37 ,             1.22 ,          0.56 ,         141.31 ,             4.93 ,           142.53 ,    0.459965292679741 ,     13.2979418185889
 1013-01 , C81          , C3           ,            20.79 ,             3.56 ,          1.15 ,         396.06 ,            21.94 ,           399.62 ,     1.27672450915354 ,     23.2545418572443
 1012-04 , C81          , C3           ,0,             0.57 ,0,         509.12 ,0,           509.69 ,0,     28.8032053165759
 1012-03 , C81          , C3           ,             4.05 ,            229.1 ,          0.13 ,           0.43 ,             4.18 ,           229.53 ,     0.58852516719465 ,     32.3167898627244
 1012-02 , C81          , C3           ,           22.575 ,             7.75 ,          2.99 ,         264.43 ,           25.565 ,           272.18 ,     2.62671201208298 ,     27.9655183042732
 1012-01 , C81          , C3           ,            2.765 ,            19.39 ,          2.07 ,         320.83 ,            4.835 ,           340.22 ,    0.322047784297922 ,     22.6612403668747
 1011-04 , C81          , C3           ,              2.4 ,             2.45 ,          0.23 ,         443.91 ,             2.63 ,           446.36 ,    0.173790077445616 ,     29.4954140565115
 1011-03 , C81          , C3           ,             1.74 ,             3.88 ,           0.1 ,         972.57 ,             1.84 ,           976.45 ,   0.0698074982358431 ,      37.045397637168
 1011-02 , C81          , C3           ,             5.21 ,            10.06 ,          0.03 ,        1423.05 ,             5.24 ,          1433.11 ,    0.137568915725912 ,     37.6243108427409
 1011-01 , C81          , C3           ,             2.54 ,            13.95 ,0,         676.46 ,             2.54 ,           690.41 ,    0.118275414080362 ,     32.1490270217413
 934-07  , C81          , C3           ,            26.13 ,            12.28 ,0,0,            26.13 ,            12.28 ,     1.19746483907777 ,    0.562758064442214
 934-06  , C81          , C3           ,            35.24 ,             6.07 ,          0.55 ,          16.48 ,            35.79 ,            22.55 ,     2.02064114000519 ,     1.27313377220221
 934-05  , C81          , C3           ,            16.98 ,             0.88 ,          1.86 ,            1.1 ,            18.84 ,             1.98 ,     1.27014946504055 ,    0.133487045688975
 934-04  , C81          , C3           ,            13.06 ,            33.16 ,          0.85 ,         171.04 ,            13.91 ,            204.2 ,    0.536833492852512 ,     7.88076198709439
 934-03  , C81          , C3           ,            19.75 ,           262.92 ,          0.75 ,         110.43 ,             20.5 ,           373.35 ,    0.374671477082899 ,     6.82359004726344
 934-02  , C81          , C3           ,             4.28 ,            42.92 ,0,          52.55 ,             4.28 ,            95.47 ,   0.0962721532796639 ,     2.14745384897418
 934-01  , C81          , C3           ,            13.49 ,           630.21 ,          1.55 ,         209.16 ,            15.04 ,           839.37 ,    0.138249906929501 ,     7.71561332309941
 933-03  , C81          , C3           ,            27.59 ,            81.55 ,          2.99 ,          11.52 ,            30.58 ,            93.07 ,     1.02859410896101 ,     3.13051843430351
 933-02  , C81          , C3           ,             9.96 ,           131.19 ,          6.75 ,          89.79 ,            16.71 ,           220.98 ,    0.486795915691958 ,     6.43759194791196
 933-01  , C81          , C3           ,             2.35 ,           677.69 ,0,          36.86 ,             2.35 ,           714.55 ,   0.0598912273369047 ,     18.2107559547171
 932-04  , C81          , C3           ,             0.06 ,           245.49 ,0,          30.49 ,             0.06 ,           275.98 ,  0.00995222929936306 ,     45.7769373673036
 932-03  , C81          , C3           ,             2.15 ,            70.21 ,          0.29 ,         135.61 ,             2.44 ,           205.82 ,   0.0886305848165637 ,     7.47620777333818
 932-02  , C81          , C3           ,             1.58 ,             1.81 ,          0.15 ,           4.83 ,             1.73 ,             6.64 ,    0.307681363046223 ,     1.18092731250111
 932-01  , C81          , C3           ,             1.74 ,            11.47 ,          0.02 ,           3.57 ,             1.76 ,            15.04 ,    0.398731309469869 ,     3.40734028092433
 931-03  , C81          , C3           ,0,             1.03 ,0,           0.78 ,0,             1.81 ,0,    0.251861128504836
 931-02  , C81          , C3           ,             7.17 ,             4.95 ,0,0,             7.17 ,             4.95 ,    0.502463261315935 ,    0.346888862414767
 931-01  , C81          , C3           ,             5.89 ,             2.19 ,          0.06 ,           0.17 ,             5.95 ,             2.36 ,    0.244179699843643 ,   0.0968511078371424
 922-03  , C81          , C3           ,             5.49 ,0,0,           0.58 ,             5.49 ,             0.58 ,    0.805505017900112 ,   0.0850988907799754
 922-02  , C81          , C3           ,             9.92 ,0,          0.76 ,           0.02 ,            10.68 ,             0.02 ,     2.79486038782613 ,  0.00523382095098527
 821-03  , C81          , C3           ,             5.44 ,             7.78 ,          0.14 ,           8.46 ,             5.58 ,            16.24 ,     0.25885824032065 ,     0.75337953813752
 121-02  , C81          , C3           ,         374.1575 ,             0.42 ,         10.74 ,         1.3225 ,         384.8975 ,           1.7425 ,     46.5605569399753 ,    0.210787990225728
 814-03  , C81          , C3           ,             0.91 ,             1.45 ,          0.29 ,            2.9 ,              1.2 ,             4.35 ,   0.0348263182487005 ,    0.126245403651539
